seed,dimension,group,macro_f1,log_loss,roc_auc,brier,ece_10,calibration_bias,precision,recall,fpr,fnr,error_rate
42,raw_missing__Carrier_Code(IATA),observed,0.00351804275981199,0.0012151167677275088,0.0010529891304347228,0.000528452458204931,-0.003962255512102962,0.0020250104015923087,-0.007962840079628386,-0.125,-0.10597826086956522,0.125,-0.0647321428571429
42,raw_missing__Carrier_Code(IATA),missing,0.11281644281644282,-0.024729217962756456,0.06976744186046502,-0.00752747993142161,0.015163315265613257,0.00501546957281776,0.14444444444444446,0.3,0.0,-0.30000000000000004,-0.0566037735849057
42,raw_missing__Carrier_ID(DOT),observed,0.01794914722812646,-0.001970163894008836,0.016441552931192982,-0.0003396164536196844,-0.010733236456751973,0.003572315981203611,0.0190586972083035,-0.07594936708860761,-0.09217877094972066,0.07594936708860767,-0.06178489702517165
42,raw_missing__Carrier_ID(DOT),missing,0.02241303590628929,0.0014794590874633862,-0.017152658662092535,-0.00021558351340203452,-0.047216929568178176,-0.006063711508020098,-0.00888888888888889,-0.09090909090909088,-0.11320754716981135,0.09090909090909094,-0.078125
42,raw_missing__Tail_Number,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Tail_Number,missing,,,,,,,,,,,
42,raw_missing_count,0,-0.006538579518976961,-0.003107956278060542,0.029123914759273895,0.0001658365201156753,-0.006263822053401863,0.0028753150247501635,-0.008667388949079063,-0.2285714285714286,-0.13259668508287295,0.22857142857142865,-0.07407407407407407
42,raw_missing_count,1,0.05721998207885309,-0.0048073198982201415,0.017786561264822143,-0.001971585696468575,-0.020780945695029196,0.0018094201246554587,0.07453416149068323,0.04545454545454544,-0.07453416149068323,-0.045454545454545525,-0.06829268292682922
42,raw_missing_count,2,-0.03078996475222895,0.013353780229011014,-0.05357142857142855,0.0030220879868918804,-0.0010583302621009621,0.0037853496157178868,-0.048611111111111105,-0.1,-0.01785714285714285,0.09999999999999998,0.0
42,raw_missing_count,3,0.06666666666666671,-0.005313039768828742,,-0.001583815094084992,-0.0043696061205521775,-0.004369606120552205,0.0,,-0.16666666666666669,,-0.16666666666666669
42,raw_missing_count,4,0.0,0.03647493861162143,0.0,0.01284630916784757,0.008406659782080494,-0.008186212409228621,0.0,0.0,0.0,0.0,0.0
42,raw_time_pattern,both_observed,0.025168666782362625,-0.004479582230025925,0.03226605050338338,-0.0010613521196356501,-0.025050608655093544,0.0027739637205690393,0.02477283596365376,-0.0684931506849315,-0.0993975903614458,0.06849315068493156,-0.06913580246913575
42,raw_time_pattern,departure_missing,0.007994549171019827,0.029830663311577965,-0.17013888888888895,0.007626904731190737,-0.018200137524420373,-0.0033072313805267983,0.0,-0.125,-0.1388888888888889,0.125,-0.09090909090909094
42,raw_time_pattern,arrival_missing,-0.0164097496706192,-0.017906477867948023,0.07692307692307687,-0.00429949867987553,0.023079939627436194,0.005413346881836145,-0.03361344537815128,-0.125,-0.051282051282051266,0.125,-0.021276595744680826
42,raw_time_pattern,both_missing,-0.06944444444444442,0.11540196743208941,0.0,0.026826100628930455,0.25882771896315193,-0.011867976452177242,,0.0,0.25,0.0,0.2
