bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
1,0.1,0.2,126585,0.14923106640219055,0.14805071690958643,P6_fixed,42,raw_missing__Airline,observed
2,0.2,0.3,58183,0.238068318046908,0.2528401766839111,P6_fixed,42,raw_missing__Airline,observed
3,0.3,0.4,10615,0.33519026128615786,0.3385774846914743,P6_fixed,42,raw_missing__Airline,observed
4,0.4,0.5,1448,0.43421733574935234,0.39709944751381215,P6_fixed,42,raw_missing__Airline,observed
5,0.5,0.6,205,0.5324520226954342,0.4682926829268293,P6_fixed,42,raw_missing__Airline,observed
6,0.6,0.7,16,0.6292726388333956,0.1875,P6_fixed,42,raw_missing__Airline,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Airline,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Airline,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Airline,observed
0,0.0,0.1,3585,0.08511551516254208,0.07419804741980474,P6_fixed,42,raw_missing__Airline,missing
1,0.1,0.2,15257,0.14902281013489896,0.14583469882676803,P6_fixed,42,raw_missing__Airline,missing
2,0.2,0.3,7217,0.23859630800371032,0.24608563114867674,P6_fixed,42,raw_missing__Airline,missing
3,0.3,0.4,1306,0.3351275454811759,0.36983154670750384,P6_fixed,42,raw_missing__Airline,missing
4,0.4,0.5,149,0.43122459676826846,0.4966442953020134,P6_fixed,42,raw_missing__Airline,missing
5,0.5,0.6,24,0.5309974697792791,0.4583333333333333,P6_fixed,42,raw_missing__Airline,missing
6,0.6,0.7,2,0.6170938850871066,0.0,P6_fixed,42,raw_missing__Airline,missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Airline,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Airline,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Airline,missing
0,0.0,0.1,30287,0.08509899563775947,0.07957209363753426,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
1,0.1,0.2,126552,0.14919247298420682,0.14729913395284153,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
2,0.2,0.3,58015,0.23816255847996795,0.2513487891062656,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
3,0.3,0.4,10612,0.33537163935252284,0.341688654353562,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
4,0.4,0.5,1416,0.43410192044154355,0.4081920903954802,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
5,0.5,0.6,214,0.5331608752390004,0.45794392523364486,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
6,0.6,0.7,15,0.6251143886357627,0.13333333333333333,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),observed
0,0.0,0.1,3705,0.08555239837897066,0.08097165991902834,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
1,0.1,0.2,15290,0.14934268892427083,0.15206017004578157,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
2,0.2,0.3,7385,0.23784396392290977,0.25795531482735273,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
3,0.3,0.4,1309,0.3336572659602819,0.3445378151260504,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
4,0.4,0.5,181,0.43265661733872146,0.39226519337016574,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
5,0.5,0.6,15,0.5200117750747104,0.6,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
6,0.6,0.7,3,0.6419447206573667,0.3333333333333333,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Carrier_Code(IATA),missing
0,0.0,0.1,30313,0.08512795814492904,0.07867911457130604,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
1,0.1,0.2,126382,0.1492146015031299,0.1479799338513396,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
2,0.2,0.3,58218,0.2381472926660029,0.2520182761345288,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
3,0.3,0.4,10659,0.33509754191420194,0.34299652875504266,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
4,0.4,0.5,1440,0.4343758858362801,0.4076388888888889,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
5,0.5,0.6,200,0.5322434068816051,0.46,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
6,0.6,0.7,17,0.6249540968404774,0.17647058823529413,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
0,0.0,0.1,3679,0.08531696700942457,0.08833922261484099,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
1,0.1,0.2,15460,0.1491601414994101,0.1464424320827943,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
2,0.2,0.3,7182,0.23795870500649863,0.2527151211361738,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
3,0.3,0.4,1262,0.3359084775653749,0.3335974643423138,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
4,0.4,0.5,157,0.42992287566427323,0.39490445859872614,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
5,0.5,0.6,29,0.5326869845153697,0.5172413793103449,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
6,0.6,0.7,1,0.6783303452204272,0.0,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Tail_Number,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Tail_Number,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Tail_Number,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Tail_Number,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Tail_Number,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Tail_Number,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Tail_Number,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Tail_Number,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Tail_Number,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Tail_Number,observed
0,0.0,0.1,33632,0.08511284519684006,0.07986441484300666,P6_fixed,42,feature_missing__Airline,observed
1,0.1,0.2,140346,0.14918875337987528,0.14780613626323516,P6_fixed,42,feature_missing__Airline,observed
2,0.2,0.3,64396,0.23813681389905894,0.2519721721846077,P6_fixed,42,feature_missing__Airline,observed
3,0.3,0.4,11764,0.33519018079319757,0.3414654879292758,P6_fixed,42,feature_missing__Airline,observed
4,0.4,0.5,1580,0.43405185879566843,0.40632911392405063,P6_fixed,42,feature_missing__Airline,observed
5,0.5,0.6,227,0.5323831339360839,0.4669603524229075,P6_fixed,42,feature_missing__Airline,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,feature_missing__Airline,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,feature_missing__Airline,observed
8,0.8,0.9,0,,,P6_fixed,42,feature_missing__Airline,observed
9,0.9,1.0,0,,,P6_fixed,42,feature_missing__Airline,observed
0,0.0,0.1,360,0.08847140892995045,0.06666666666666667,P6_fixed,42,feature_missing__Airline,missing
1,0.1,0.2,1496,0.15107671985124982,0.1483957219251337,P6_fixed,42,feature_missing__Airline,missing
2,0.2,0.3,1004,0.2374703545241304,0.2599601593625498,P6_fixed,42,feature_missing__Airline,missing
3,0.3,0.4,157,0.3346745929923899,0.3821656050955414,P6_fixed,42,feature_missing__Airline,missing
4,0.4,0.5,17,0.4233664815516524,0.4117647058823529,P6_fixed,42,feature_missing__Airline,missing
5,0.5,0.6,2,0.5228162618878418,0.5,P6_fixed,42,feature_missing__Airline,missing
6,0.6,0.7,0,,,P6_fixed,42,feature_missing__Airline,missing
