phase_key,seed,dimension,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,raw_missing__Tail_Number,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,feature_missing__Airline,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,feature_missing__Airline,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,feature_missing__Dep_Hour,observed,496,89,0.17943548387096775,0.17344058780174024,-0.005994896069227512,0.4930134647579162,0.47245506835829265,0.5435358749965492,0.14808417370575905,0.03951602506075359,283.0,124.0,61.0,28.0,0.18421052631578946,0.3146067415730337,0.3046683046683047,0.6853932584269663,0.37298387096774194
P6_fixed,42,feature_missing__Dep_Hour,missing,5,1,0.2,0.16969049424053265,-0.030309505759467364,0.4444444444444444,0.5138696802214615,0.25,0.16440284401155503,0.030309505759467364,4.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.2
P6_fixed,42,feature_missing__Arr_Hour,observed,496,89,0.17943548387096775,0.17344058780174024,-0.005994896069227512,0.4930134647579162,0.47245506835829265,0.5435358749965492,0.14808417370575905,0.03951602506075359,283.0,124.0,61.0,28.0,0.18421052631578946,0.3146067415730337,0.3046683046683047,0.6853932584269663,0.37298387096774194
P6_fixed,42,feature_missing__Arr_Hour,missing,5,1,0.2,0.16969049424053265,-0.030309505759467364,0.4444444444444444,0.5138696802214615,0.25,0.16440284401155503,0.030309505759467364,4.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.2
P6_fixed,42,raw_missing_count,0,216,35,0.16203703703703703,0.1737663122132713,0.01172927517623426,0.5499479106378053,0.4379463697798714,0.5918705603788476,0.13428232198905138,0.020868412254386286,127.0,54.0,18.0,17.0,0.23943661971830985,0.4857142857142857,0.2983425414364641,0.5142857142857142,0.3333333333333333
P6_fixed,42,raw_missing_count,1,205,44,0.2146341463414634,0.17267083980515605,-0.041963306536307365,0.44451612903225807,0.5324155637682879,0.5141163184641445,0.1723720033956533,0.08642985037379934,113.0,48.0,36.0,8.0,0.14285714285714285,0.18181818181818182,0.2981366459627329,0.8181818181818182,0.4097560975609756
P6_fixed,42,raw_missing_count,2,66,10,0.15151515151515152,0.17175704229597646,0.020241890780824945,0.4560439560439561,0.44065226174358835,0.49642857142857144,0.13459942425185226,0.03755709015346169,40.0,16.0,8.0,2.0,0.1111111111111111,0.2,0.2857142857142857,0.8,0.36363636363636365
P6_fixed,42,raw_missing_count,3,12,0,0.0,0.18116563038464026,0.18116563038464026,0.3333333333333333,0.20181295165061156,,0.03545292873699478,0.18116563038464029,6.0,6.0,0.0,0.0,0.0,,0.5,,0.5
P6_fixed,42,raw_missing_count,4,2,1,0.5,0.21699303329605363,-0.28300696670394637,1.0,0.8303255834925146,1.0,0.31076249345202445,0.4802806994342536,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
P6_fixed,42,raw_time_pattern,both_observed,405,73,0.18024691358024691,0.1739472728274275,-0.006299640752819413,0.49519710164195974,0.4738765300897864,0.5399612147219013,0.1486997641725705,0.045783486416482604,232.0,100.0,50.0,23.0,0.18699186991869918,0.3150684931506849,0.30120481927710846,0.684931506849315,0.37037037037037035
P6_fixed,42,raw_time_pattern,departure_missing,44,8,0.18181818181818182,0.16429580239101027,-0.017522379427171553,0.48235294117647054,0.467568436266581,0.6111111111111112,0.14660959254908135,0.0497670216617625,26.0,10.0,6.0,2.0,0.16666666666666666,0.25,0.2777777777777778,0.75,0.36363636363636365
P6_fixed,42,raw_time_pattern,arrival_missing,47,8,0.1702127659574468,0.177635547858523,0.007422781901076203,0.48231884057971014,0.46478102177915004,0.5,0.14416007651076307,0.04455560865523135,25.0,14.0,5.0,3.0,0.17647058823529413,0.375,0.358974358974359,0.625,0.40425531914893614
P6_fixed,42,raw_time_pattern,both_missing,5,1,0.2,0.16969049424053265,-0.030309505759467364,0.4444444444444444,0.5138696802214615,0.25,0.16440284401155503,0.030309505759467364,4.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.2
P6_clean,42,overall,all,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Month,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Month,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Day_of_Month,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Day_of_Month,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Estimated_Departure_Time,observed,452,81,0.17920353982300885,0.17737920100605195,-0.0018243388169568997,0.514426028238183,0.467055016475729,0.574007520548401,0.1468296549546246,0.02560992535984056,292.0,79.0,61.0,20.0,0.20202020202020202,0.24691358024691357,0.21293800539083557,0.7530864197530864,0.30973451327433627
P6_clean,42,raw_missing__Estimated_Departure_Time,missing,49,9,0.1836734693877551,0.1606655043551643,-0.02300796503259081,0.4771341463414634,0.5108554820348316,0.39444444444444443,0.15801123680682444,0.04190512417295762,34.0,6.0,8.0,1.0,0.14285714285714285,0.1111111111111111,0.15,0.8888888888888888,0.2857142857142857
P6_clean,42,raw_missing__Estimated_Arrival_Time,observed,449,81,0.18040089086859687,0.17517950540400865,-0.005221385464588224,0.5181786149016593,0.4721410339969755,0.5608729200214707,0.14828499501507927,0.02085035802318619,296.0,72.0,62.0,19.0,0.2087912087912088,0.2345679012345679,0.1956521739130435,0.7654320987654321,0.2984409799554566
P6_clean,42,raw_missing__Estimated_Arrival_Time,missing,52,9,0.17307692307692307,0.18062328157189725,0.007546358494974176,0.4583333333333333,0.4644127269633509,0.5219638242894057,0.144799843870272,0.054321140018063756,30.0,13.0,7.0,2.0,0.13333333333333333,0.2222222222222222,0.3023255813953488,0.7777777777777778,0.38461538461538464
P6_clean,42,raw_missing__Cancelled,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Cancelled,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Diverted,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Diverted,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Origin_Airport,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Origin_Airport,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Origin_Airport_ID,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Origin_Airport_ID,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Origin_State,observed,445,83,0.18651685393258427,0.1759624865444404,-0.01055436738814386,0.5127672327672328,0.48258114878569,0.5605904280103841,0.15274025105095906,0.02743398907979618,289.0,73.0,64.0,19.0,0.20652173913043478,0.2289156626506024,0.20165745856353592,0.7710843373493976,0.30786516853932583
P6_clean,42,raw_missing__Origin_State,missing,56,7,0.125,0.1740125367118312,0.0490125367118312,0.5018315018315018,0.38200312244828943,0.5306122448979591,0.1096454093812133,0.0706397836182245,37.0,12.0,5.0,2.0,0.14285714285714285,0.2857142857142857,0.24489795918367346,0.7142857142857143,0.30357142857142855
P6_clean,42,raw_missing__Destination_Airport,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Destination_Airport,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Destination_Airport_ID,observed,501,90,0.17964071856287425,0.17574452808011684,-0.003896190482757411,0.5116093583835519,0.47133889434478293,0.5576507164098405,0.1479232627605284,0.024324371324051713,326.0,85.0,69.0,21.0,0.19811320754716982,0.23333333333333334,0.20681265206812652,0.7666666666666667,0.3073852295409182
P6_clean,42,raw_missing__Destination_Airport_ID,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Destination_State,observed,454,80,0.1762114537444934,0.1759642619016568,-0.0002471918428366138,0.5136922503725783,0.46679794258301416,0.5543282085561497,0.14591773778932346,0.027758202589627325,297.0,77.0,61.0,19.0,0.19791666666666666,0.2375,0.20588235294117646,0.7625,0.3039647577092511
