bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
0,0.0,0.1,26,0.07029058700700148,0.11538461538461539,P6_fixed,42,raw_missing__Destination_State,observed
1,0.1,0.2,304,0.1552682953010074,0.18421052631578946,P6_fixed,42,raw_missing__Destination_State,observed
2,0.2,0.3,113,0.23395956424372436,0.17699115044247787,P6_fixed,42,raw_missing__Destination_State,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Destination_State,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Destination_State,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Destination_State,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Destination_State,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Destination_State,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Destination_State,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Destination_State,observed
0,0.0,0.1,2,0.06507109869432703,0.0,P6_fixed,42,raw_missing__Destination_State,missing
1,0.1,0.2,35,0.15435670856829756,0.2,P6_fixed,42,raw_missing__Destination_State,missing
2,0.2,0.3,10,0.2209522637940296,0.3,P6_fixed,42,raw_missing__Destination_State,missing
3,0.3,0.4,0,,,P6_fixed,42,raw_missing__Destination_State,missing
4,0.4,0.5,0,,,P6_fixed,42,raw_missing__Destination_State,missing
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Destination_State,missing
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Destination_State,missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Destination_State,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Destination_State,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Destination_State,missing
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Distance,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Distance,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Distance,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Distance,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Distance,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Distance,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Distance,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Distance,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Distance,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Distance,observed
0,0.0,0.1,25,0.0715291828889648,0.12,P6_fixed,42,raw_missing__Airline,observed
1,0.1,0.2,295,0.15474735534420575,0.18305084745762712,P6_fixed,42,raw_missing__Airline,observed
2,0.2,0.3,111,0.23361114120632365,0.18018018018018017,P6_fixed,42,raw_missing__Airline,observed
3,0.3,0.4,9,0.3168235405845688,0.1111111111111111,P6_fixed,42,raw_missing__Airline,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Airline,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Airline,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Airline,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Airline,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Airline,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Airline,observed
0,0.0,0.1,3,0.05648929578219088,0.0,P6_fixed,42,raw_missing__Airline,missing
1,0.1,0.2,44,0.15803583511036304,0.20454545454545456,P6_fixed,42,raw_missing__Airline,missing
2,0.2,0.3,12,0.22634306029826892,0.25,P6_fixed,42,raw_missing__Airline,missing
3,0.3,0.4,1,0.3378801665146646,0.0,P6_fixed,42,raw_missing__Airline,missing
4,0.4,0.5,0,,,P6_fixed,42,raw_missing__Airline,missing
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Airline,missing
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Airline,missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Airline,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Airline,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Airline,missing
