phase_key,seed,arm,calibrator,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,1,shared,none,both_observed,202507,35711,0.17634452142395077,0.17422427493208614,-0.0021202464918646247,0.574160281686387,0.4477054464851698,0.6416697730013555,0.1399339607771072,0.0038859898564131473,136294,30502,23406,12305,0.2874529866610601,0.34457170059645487,0.182870092807981,0.6554282994035451,0.2662031435950362
P6_fixed,1,shared,none,departure_missing,24810,4392,0.17702539298669892,0.1736339387806937,-0.003391454206005229,0.5734412046869648,0.44959322106909383,0.6402774900749205,0.1408270504948405,0.0094547538680353,16782,3636,2918,1474,0.28845401174168295,0.3356102003642987,0.17807816632383192,0.6643897996357013,0.264167674324869
P6_fixed,1,shared,none,arrival_missing,24653,4378,0.177584878108141,0.1756717292348072,-0.0019131488733337976,0.5805257363438602,0.4487984264329326,0.6441347303719585,0.1404319067231708,0.005645222606293633,16521,3754,2792,1586,0.29700374531835205,0.3622658748286889,0.185154130702836,0.6377341251713111,0.26552549385470325
P6_fixed,1,shared,none,both_missing,3031,519,0.17123061695809963,0.16489841927222854,-0.006332197685871094,0.5108120339981094,0.45497101657209144,0.5718462746830627,0.14119179258954856,0.012982701193753563,2358,154,469,50,0.24509803921568626,0.09633911368015415,0.06130573248407643,0.9036608863198459,0.20554272517321015
P6_fixed,1,shared,platt,overall,255001,45000,0.1764698961964855,0.17628874774021216,-0.00018114845627334453,0.5739770491664247,0.4480447237070615,0.6410332900002065,0.14007768217139757,0.003179208109441395,171817,38184,29585,15415,0.2875986492285304,0.34255555555555556,0.18182770558235437,0.6574444444444445,0.2657597421186584
P6_fixed,1,shared,platt,both_observed,202507,35711,0.17634452142395077,0.17632082486759154,-2.3696556359226184e-05,0.5740854605564231,0.44767498362897584,0.6416661031992381,0.13992891730332258,0.003112824312466377,136217,30579,23388,12323,0.2872360262924805,0.3450757469687211,0.1833317345739706,0.6549242530312789,0.2664944915484403
P6_fixed,1,shared,platt,departure_missing,24810,4392,0.17702539298669892,0.1757080569950479,-0.0013173359916510141,0.571620313784799,0.4495599961198885,0.6402350594791089,0.14083156980996817,0.008971892462557956,16726,3692,2919,1473,0.285188770571152,0.3353825136612022,0.18082084435302184,0.6646174863387978,0.2664651350261991
P6_fixed,1,shared,platt,arrival_missing,24653,4378,0.177584878108141,0.17782666653784018,0.00024178842969918568,0.5791081378383047,0.4486989250259151,0.6442139742541876,0.1404004551421882,0.00395700084495753,16519,3756,2806,1572,0.29504504504504503,0.3590680676107812,0.18525277435265106,0.6409319323892189,0.26617450208899524
P6_fixed,1,shared,platt,both_missing,3031,519,0.17123061695809963,0.1663899626644559,-0.00484065429364372,0.5061007534266626,0.4550236152666033,0.5715156842531571,0.14122075468127113,0.010218159218118032,2355,157,472,47,0.23039215686274508,0.0905587668593449,0.0625,0.9094412331406551,0.20752226987792807
P6_fixed,1,shared,isotonic,overall,255001,45000,0.1764698961964855,0.17628195418731374,-0.00018794200917177095,0.5739986446828846,0.44949059059958046,0.6402508574297794,0.140119116851536,0.0022089990408537164,172211,37790,29706,15294,0.2881094114987567,0.33986666666666665,0.17995152404036172,0.6601333333333333,0.264689158081733
P6_fixed,1,shared,isotonic,both_observed,202507,35711,0.17634452142395077,0.17630223770462614,-4.228371932463171e-05,0.5739222807651589,0.4493384089194916,0.640835424208364,0.13998665002309102,0.002143971362316492,136521,30275,23497,12214,0.28746263738850053,0.3420234661588866,0.18150914890045325,0.6579765338411134,0.2655315618719353
P6_fixed,1,shared,isotonic,departure_missing,24810,4392,0.17702539298669892,0.17588931370613964,-0.0011360792805592823,0.5727074121345197,0.4510347147801159,0.6394211112966683,0.14084955909543412,0.007103042641887117,16784,3634,2926,1466,0.2874509803921569,0.33378870673952643,0.17798021353707513,0.6662112932604736,0.26440951229343007
P6_fixed,1,shared,isotonic,arrival_missing,24653,4378,0.177584878108141,0.17794893432411002,0.00036405621596902193,0.5795371865239201,0.44843007333257867,0.6437846501873791,0.14031562287201527,0.002272192716543761,16545,3730,2810,1568,0.29596073990184973,0.3581544084056647,0.18397040690505548,0.6418455915943353,0.2652821157668438
