phase_key,arm,seed,group,brier,ece_10,log_loss,macro_f1,roc_auc,recall,precision,calibration_bias,calibrator,n
P6_fixed,shared,42,both_observed,-2.0640562004015095e-06,-0.003967193116658401,0.0011243007401433025,0.00012797101958039736,-0.0006248222981554141,0.015597434964016776,-0.0023202437558291766,0.001890769289410269,isotonic,202507
P6_fixed,shared,42,departure_missing,-0.00016397148619021196,-0.0057237464646213996,-0.0006204293578671027,0.0015042007695024173,-0.00038315218312501287,0.016621129326047313,-9.907625476973658e-05,0.0020165055298511,isotonic,24810
P6_fixed,shared,42,arrival_missing,-9.329979239910968e-05,-0.004489100095306,-0.0003063458696507815,0.001088941937387955,-0.00016221675578897976,0.0180447693010507,-0.0011720945528824744,0.0019655018109834,isotonic,24653
P6_fixed,shared,42,both_missing,0.00019386272179461317,0.003380976068172302,0.0006553060998792382,0.006802153064594529,0.0004905164267393625,0.013487475915221495,0.011143062544931692,0.0010067104601280998,isotonic,3031
P6_fixed,split,42,overall,2.7871801820095188e-05,-0.0038280571490445997,0.0014846401226581984,0.0004562752957357752,-0.0009539073623459071,-0.02968888888888882,0.006111827880843801,0.0017984648178143,isotonic,255001
P6_fixed,split,42,both_observed,5.150719195629039e-05,-0.0026930261455193004,0.0019536023636798072,0.0006600707216783963,-0.0010759957517233465,-0.02993475399736778,0.006352063397189078,0.0017924724608303,isotonic,202507
P6_fixed,split,42,departure_missing,-0.000115059449147914,-0.006518386891970899,-0.0005715099030863535,-0.002184416594486538,-0.00019791837838700754,-0.03460837887067386,0.002118052617639532,0.0018664568256616001,isotonic,24810
P6_fixed,split,42,arrival_missing,-2.0116493863991947e-05,-0.0053389169105932995,-0.00011631569451525658,0.0014436029369991887,-0.0010100665867169845,-0.02558245774326179,0.007250842690274317,0.0018954984461295,isotonic,24653
P6_fixed,split,42,both_missing,9.015925774708e-06,-0.0021349142737181,4.372671949637308e-06,0.0023504988042258868,0.0031601683786803836,-0.005780346820809204,0.020798750122058396,0.0008530482827472999,isotonic,3031
P6_clean,shared,42,overall,-2.0530829264009398e-05,-0.003593369732538,0.000826993409158816,-0.0007606318396846667,-0.0005644978410156432,-0.019311111111111112,0.0030399191438585382,0.0017678541886788999,isotonic,255001
P6_clean,shared,42,both_observed,-1.3627029813001457e-05,-0.0032440559202144997,0.0010956158862703291,-0.0005317515373914894,-0.0004282377359612344,-0.01892974153622129,0.003223202827850713,0.001753094893455389,isotonic,202507
P6_clean,shared,42,departure_missing,-0.00010403483683879555,-0.005608937100343801,-0.00047153093503998766,-0.002088272370556865,-0.0008333681253066549,-0.02231329690346079,0.0013897926182738773,0.0018460123100986002,isotonic,24810
P6_clean,shared,42,arrival_missing,-1.9935445108199e-05,-0.0054338031480968,-7.366474655562394e-05,-0.0011880993684295627,-0.0011019394697959761,-0.020785746916400227,0.002846720820194326,0.0019361601521198997,isotonic,24653
P6_clean,shared,42,both_missing,0.00019688543827320326,0.0040276844550493004,0.0008343779423027886,-0.0013133734231177696,-0.004837665525324497,-0.0077071290944122905,0.0081233421750663,0.0007452579130972001,isotonic,3031
P6_clean,split,42,overall,1.0613372461082404e-05,-0.0032824589338720004,0.002047437132125296,-0.0002483578726657498,-0.0008459229030126636,0.0014222222222222136,-0.0006986109929039697,0.0016189712991586998,isotonic,255001
P6_clean,split,42,both_observed,2.4255237187492673e-05,-0.0028977302410210996,0.002633332075717587,-0.00034083006518115244,-0.0008205784309359698,0.0012321133544285767,-0.000813715358146283,0.0015992179590111999,isotonic,202507
P6_clean,split,42,departure_missing,-9.455715055808889e-05,-0.005190566536800701,-0.00040576077306592184,0.0015090134440912673,-0.0009165343233522583,0.0034153005464480635,0.002109844468009936,0.0016914880625766003,isotonic,24810
P6_clean,split,42,arrival_missing,-2.051046649650945e-05,-0.0054500658810675,-0.0001296344937642968,-0.0012041539426685954,-0.0009238660514770958,0.00022841480127916425,-0.002223152293439612,0.0018460180713652998,isotonic,24653
P6_clean,split,42,both_missing,0.00021318796097322124,0.0020784596279085008,0.0006905778377689353,0.0017641968764652294,-0.001908373525766227,0.007707129094412402,-0.0030804774740084973,0.0004984383653643999,isotonic,3031
